{'train_risk': 0.07330000400543213, 'expected_risk': 0.1258142590522766, 'generalization': 0.05251425504684448}
{'train_risk': 0.10650002956390381, 'expected_risk': 0.1615999937057495, 'generalization': 0.0550999641418457}
{'train_risk': 0.06440001726150513, 'expected_risk': 0.11790001392364502, 'generalization': 0.05349999666213989}
{'train_risk': 0.13679999113082886, 'expected_risk': 0.17624282836914062, 'generalization': 0.03944283723831177}
{'train_risk': 0.07959997653961182, 'expected_risk': 0.12464284896850586, 'generalization': 0.04504287242889404}
{'train_risk': 0.08520001173019409, 'expected_risk': 0.12967145442962646, 'generalization': 0.04447144269943237}
{'train_risk': 0.12949997186660767, 'expected_risk': 0.16937142610549927, 'generalization': 0.0398714542388916}
{'train_risk': 0.07499998807907104, 'expected_risk': 0.13235712051391602, 'generalization': 0.05735713243484497}
{'train_risk': 0.05390000343322754, 'expected_risk': 0.1111571192741394, 'generalization': 0.057257115840911865}
{'train_risk': 0.07200002670288086, 'expected_risk': 0.11951428651809692, 'generalization': 0.047514259815216064}
{'train_risk': 0.06620001792907715, 'expected_risk': 0.12377142906188965, 'generalization': 0.0575714111328125}
{'train_risk': 0.10839998722076416, 'expected_risk': 0.14822858572006226, 'generalization': 0.039828598499298096}
{'train_risk': 0.08190000057220459, 'expected_risk': 0.13277143239974976, 'generalization': 0.050871431827545166}
{'train_risk': 0.15969997644424438, 'expected_risk': 0.20007145404815674, 'generalization': 0.040371477603912354}
{'train_risk': 0.1525999903678894, 'expected_risk': 0.19087141752243042, 'generalization': 0.038271427154541016}
{'train_risk': 0.07730001211166382, 'expected_risk': 0.12811428308486938, 'generalization': 0.050814270973205566}
{'train_risk': 0.09119999408721924, 'expected_risk': 0.13585716485977173, 'generalization': 0.04465717077255249}
{'train_risk': 0.10210001468658447, 'expected_risk': 0.1541285514831543, 'generalization': 0.052028536796569824}
{'train_risk': 0.07389998435974121, 'expected_risk': 0.12854284048080444, 'generalization': 0.05464285612106323}
{'train_risk': 0.05779999494552612, 'expected_risk': 0.10762858390808105, 'generalization': 0.04982858896255493}
{'train_risk': 0.10060000419616699, 'expected_risk': 0.14305716753005981, 'generalization': 0.04245716333389282}
{'train_risk': 0.05290001630783081, 'expected_risk': 0.11184287071228027, 'generalization': 0.05894285440444946}
{'train_risk': 0.08670002222061157, 'expected_risk': 0.1363571286201477, 'generalization': 0.04965710639953613}
{'train_risk': 0.09079998731613159, 'expected_risk': 0.14232856035232544, 'generalization': 0.05152857303619385}
{'train_risk': 0.06599998474121094, 'expected_risk': 0.12029999494552612, 'generalization': 0.054300010204315186}
{'train_risk': 0.06470000743865967, 'expected_risk': 0.11508572101593018, 'generalization': 0.05038571357727051}
{'train_risk': 0.1007000207901001, 'expected_risk': 0.14372855424880981, 'generalization': 0.04302853345870972}
{'train_risk': 0.058399975299835205, 'expected_risk': 0.11177140474319458, 'generalization': 0.053371429443359375}
{'train_risk': 0.18970000743865967, 'expected_risk': 0.2134857177734375, 'generalization': 0.023785710334777832}
{'train_risk': 0.07590001821517944, 'expected_risk': 0.13007140159606934, 'generalization': 0.05417138338088989}
{'train_risk': 0.11909997463226318, 'expected_risk': 0.1613714098930359, 'generalization': 0.042271435260772705}
{'train_risk': 0.10920000076293945, 'expected_risk': 0.1542285680770874, 'generalization': 0.04502856731414795}
{'train_risk': 0.0690000057220459, 'expected_risk': 0.12389999628067017, 'generalization': 0.05489999055862427}
{'train_risk': 0.05629998445510864, 'expected_risk': 0.11465716361999512, 'generalization': 0.058357179164886475}
{'train_risk': 0.09030002355575562, 'expected_risk': 0.1413285732269287, 'generalization': 0.051028549671173096}
{'train_risk': 0.06150001287460327, 'expected_risk': 0.11502856016159058, 'generalization': 0.053528547286987305}
{'train_risk': 0.06269997358322144, 'expected_risk': 0.11745715141296387, 'generalization': 0.05475717782974243}
{'train_risk': 0.054300010204315186, 'expected_risk': 0.11432856321334839, 'generalization': 0.0600285530090332}
