{'train_risk': 0.1980000138282776, 'expected_risk': 0.35509997606277466, 'generalization': 0.15709996223449707}
{'train_risk': 0.3999999761581421, 'expected_risk': 0.49484288692474365, 'generalization': 0.09484291076660156}
{'train_risk': 0.550000011920929, 'expected_risk': 0.6199856996536255, 'generalization': 0.06998568773269653}
{'train_risk': 0.7050000131130219, 'expected_risk': 0.7214714288711548, 'generalization': 0.016471415758132935}
{'train_risk': 0.2799999713897705, 'expected_risk': 0.4316856861114502, 'generalization': 0.1516857147216797}
{'train_risk': 0.5320000052452087, 'expected_risk': 0.5770285725593567, 'generalization': 0.04502856731414795}
{'train_risk': 0.453000009059906, 'expected_risk': 0.5287571549415588, 'generalization': 0.07575714588165283}
{'train_risk': 0.4570000171661377, 'expected_risk': 0.5454857051372528, 'generalization': 0.08848568797111511}
{'train_risk': 0.2200000286102295, 'expected_risk': 0.3905428647994995, 'generalization': 0.17054283618927002}
{'train_risk': 0.8870000019669533, 'expected_risk': 0.8961571455001831, 'generalization': 0.009157143533229828}
{'train_risk': 0.7580000013113022, 'expected_risk': 0.7822714298963547, 'generalization': 0.02427142858505249}
{'train_risk': 0.6010000109672546, 'expected_risk': 0.6200142800807953, 'generalization': 0.01901426911354065}
{'train_risk': 0.19700002670288086, 'expected_risk': 0.3890143036842346, 'generalization': 0.19201427698135376}
{'train_risk': 0.5290000140666962, 'expected_risk': 0.5835142731666565, 'generalization': 0.05451425909996033}
{'train_risk': 0.5009999871253967, 'expected_risk': 0.5776428580284119, 'generalization': 0.07664287090301514}
{'train_risk': 0.4049999713897705, 'expected_risk': 0.47277140617370605, 'generalization': 0.06777143478393555}
{'train_risk': 0.5300000011920929, 'expected_risk': 0.5653714239597321, 'generalization': 0.03537142276763916}
{'train_risk': 0.8100000023841858, 'expected_risk': 0.81357142329216, 'generalization': 0.003571420907974243}
{'train_risk': 0.7069999873638153, 'expected_risk': 0.7387857139110565, 'generalization': 0.03178572654724121}
{'train_risk': 0.3149999976158142, 'expected_risk': 0.39728569984436035, 'generalization': 0.08228570222854614}
{'train_risk': 0.5629999935626984, 'expected_risk': 0.6108142733573914, 'generalization': 0.04781427979469299}
{'train_risk': 0.5180000066757202, 'expected_risk': 0.5432857275009155, 'generalization': 0.025285720825195312}
{'train_risk': 0.5340000092983246, 'expected_risk': 0.6017142832279205, 'generalization': 0.06771427392959595}
{'train_risk': 0.39899998903274536, 'expected_risk': 0.4895285964012146, 'generalization': 0.09052860736846924}
{'train_risk': 0.4480000138282776, 'expected_risk': 0.5097714364528656, 'generalization': 0.06177142262458801}
{'train_risk': 0.6080000102519989, 'expected_risk': 0.6530714333057404, 'generalization': 0.045071423053741455}
{'train_risk': 0.35199999809265137, 'expected_risk': 0.43528568744659424, 'generalization': 0.08328568935394287}
{'train_risk': 0.3539999723434448, 'expected_risk': 0.428600013256073, 'generalization': 0.07460004091262817}
{'train_risk': 0.4559999704360962, 'expected_risk': 0.5514285862445831, 'generalization': 0.09542861580848694}
{'train_risk': 0.43400001525878906, 'expected_risk': 0.5211142897605896, 'generalization': 0.08711427450180054}
{'train_risk': 0.4950000047683716, 'expected_risk': 0.5398856997489929, 'generalization': 0.04488569498062134}
{'train_risk': 0.5940000116825104, 'expected_risk': 0.6157142817974091, 'generalization': 0.02171427011489868}
{'train_risk': 0.7310000061988831, 'expected_risk': 0.759628564119339, 'generalization': 0.028628557920455933}
{'train_risk': 0.468999981880188, 'expected_risk': 0.5050285756587982, 'generalization': 0.03602859377861023}
{'train_risk': 0.4269999861717224, 'expected_risk': 0.5078999996185303, 'generalization': 0.08090001344680786}
{'train_risk': 0.5069999992847443, 'expected_risk': 0.5577428638935089, 'generalization': 0.05074286460876465}
{'train_risk': 0.43199998140335083, 'expected_risk': 0.4957428574562073, 'generalization': 0.06374287605285645}
{'train_risk': 0.5309999883174896, 'expected_risk': 0.5825857222080231, 'generalization': 0.05158573389053345}
{'train_risk': 0.5959999859333038, 'expected_risk': 0.6574999988079071, 'generalization': 0.06150001287460327}
{'train_risk': 0.390999972820282, 'expected_risk': 0.4675714373588562, 'generalization': 0.07657146453857422}
{'train_risk': 0.5649999976158142, 'expected_risk': 0.6058428585529327, 'generalization': 0.04084286093711853}
{'train_risk': 0.47600001096725464, 'expected_risk': 0.537028580904007, 'generalization': 0.06102856993675232}
{'train_risk': 0.4869999885559082, 'expected_risk': 0.5456428527832031, 'generalization': 0.05864286422729492}
{'train_risk': 0.4490000009536743, 'expected_risk': 0.5604142844676971, 'generalization': 0.11141428351402283}
{'train_risk': 0.4729999899864197, 'expected_risk': 0.5229714214801788, 'generalization': 0.049971431493759155}
{'train_risk': 0.6850000023841858, 'expected_risk': 0.7150857150554657, 'generalization': 0.030085712671279907}
{'train_risk': 0.3889999985694885, 'expected_risk': 0.4692142605781555, 'generalization': 0.08021426200866699}
{'train_risk': 0.406000018119812, 'expected_risk': 0.4674714207649231, 'generalization': 0.061471402645111084}
{'train_risk': 0.4739999771118164, 'expected_risk': 0.5417428612709045, 'generalization': 0.06774288415908813}
{'train_risk': 0.597000002861023, 'expected_risk': 0.6564857065677643, 'generalization': 0.05948570370674133}
{'train_risk': 0.4739999771118164, 'expected_risk': 0.5645714402198792, 'generalization': 0.09057146310806274}
{'train_risk': 0.4959999918937683, 'expected_risk': 0.5730142891407013, 'generalization': 0.07701429724693298}
{'train_risk': 0.3539999723434448, 'expected_risk': 0.44035714864730835, 'generalization': 0.08635717630386353}
{'train_risk': 0.4509999752044678, 'expected_risk': 0.5244142711162567, 'generalization': 0.07341429591178894}
{'train_risk': 0.5060000121593475, 'expected_risk': 0.5685571432113647, 'generalization': 0.06255713105201721}
{'train_risk': 0.5200000107288361, 'expected_risk': 0.5818714201450348, 'generalization': 0.06187140941619873}
{'train_risk': 0.22899997234344482, 'expected_risk': 0.4142143130302429, 'generalization': 0.1852143406867981}
{'train_risk': 0.539000004529953, 'expected_risk': 0.5823571383953094, 'generalization': 0.043357133865356445}
{'train_risk': 0.5230000019073486, 'expected_risk': 0.5602571368217468, 'generalization': 0.03725713491439819}
{'train_risk': 0.5909999907016754, 'expected_risk': 0.625257134437561, 'generalization': 0.03425714373588562}
{'train_risk': 0.6349999904632568, 'expected_risk': 0.6809714138507843, 'generalization': 0.045971423387527466}
{'train_risk': 0.675000011920929, 'expected_risk': 0.7155142724514008, 'generalization': 0.0405142605304718}
{'train_risk': 0.6570000052452087, 'expected_risk': 0.6549428701400757, 'generalization': -0.0020571351051330566}
{'train_risk': 0.7299999892711639, 'expected_risk': 0.7479142844676971, 'generalization': 0.017914295196533203}
{'train_risk': 0.613999992609024, 'expected_risk': 0.681385725736618, 'generalization': 0.067385733127594}
{'train_risk': 0.3399999737739563, 'expected_risk': 0.4440000057220459, 'generalization': 0.1040000319480896}
{'train_risk': 0.3140000104904175, 'expected_risk': 0.4495142698287964, 'generalization': 0.1355142593383789}
{'train_risk': 0.703000009059906, 'expected_risk': 0.7298857271671295, 'generalization': 0.02688571810722351}
{'train_risk': 0.7870000004768372, 'expected_risk': 0.8073142915964127, 'generalization': 0.0203142911195755}
{'train_risk': 0.359000027179718, 'expected_risk': 0.458385705947876, 'generalization': 0.09938567876815796}
{'train_risk': 0.5270000100135803, 'expected_risk': 0.5792857110500336, 'generalization': 0.05228570103645325}
{'train_risk': 0.44999998807907104, 'expected_risk': 0.5026571452617645, 'generalization': 0.05265715718269348}
{'train_risk': 0.5589999854564667, 'expected_risk': 0.594571441411972, 'generalization': 0.03557145595550537}
{'train_risk': 0.5349999964237213, 'expected_risk': 0.5932428538799286, 'generalization': 0.058242857456207275}
{'train_risk': 0.5589999854564667, 'expected_risk': 0.6190285682678223, 'generalization': 0.06002858281135559}
{'train_risk': 0.6310000121593475, 'expected_risk': 0.676414281129837, 'generalization': 0.0454142689704895}
{'train_risk': 0.4580000042915344, 'expected_risk': 0.5253714323043823, 'generalization': 0.0673714280128479}
{'train_risk': 0.4570000171661377, 'expected_risk': 0.5126142799854279, 'generalization': 0.05561426281929016}
{'train_risk': 0.7330000102519989, 'expected_risk': 0.7439428567886353, 'generalization': 0.010942846536636353}
{'train_risk': 0.507999986410141, 'expected_risk': 0.5342000126838684, 'generalization': 0.026200026273727417}
{'train_risk': 0.5230000019073486, 'expected_risk': 0.5561714172363281, 'generalization': 0.03317141532897949}
{'train_risk': 0.34200000762939453, 'expected_risk': 0.4618285894393921, 'generalization': 0.11982858180999756}
{'train_risk': 0.3349999785423279, 'expected_risk': 0.42489999532699585, 'generalization': 0.08990001678466797}
{'train_risk': 0.8879999965429306, 'expected_risk': 0.8974571451544762, 'generalization': 0.009457148611545563}
{'train_risk': 0.5480000078678131, 'expected_risk': 0.6405571401119232, 'generalization': 0.09255713224411011}
{'train_risk': 0.31699997186660767, 'expected_risk': 0.426971435546875, 'generalization': 0.10997146368026733}
{'train_risk': 0.5220000147819519, 'expected_risk': 0.5683857202529907, 'generalization': 0.04638570547103882}
{'train_risk': 0.5419999957084656, 'expected_risk': 0.5929000079631805, 'generalization': 0.050900012254714966}
{'train_risk': 0.6850000023841858, 'expected_risk': 0.7276714146137238, 'generalization': 0.042671412229537964}
{'train_risk': 0.6759999990463257, 'expected_risk': 0.7063142955303192, 'generalization': 0.03031429648399353}
{'train_risk': 0.4660000205039978, 'expected_risk': 0.5489000082015991, 'generalization': 0.08289998769760132}
{'train_risk': 0.39399999380111694, 'expected_risk': 0.4819856882095337, 'generalization': 0.08798569440841675}
{'train_risk': 0.49800002574920654, 'expected_risk': 0.5376999974250793, 'generalization': 0.0396999716758728}
{'train_risk': 0.6459999978542328, 'expected_risk': 0.6912428438663483, 'generalization': 0.04524284601211548}
{'train_risk': 0.6450000107288361, 'expected_risk': 0.6703857183456421, 'generalization': 0.02538570761680603}
{'train_risk': 0.46799999475479126, 'expected_risk': 0.5147571563720703, 'generalization': 0.04675716161727905}
{'train_risk': 0.789000004529953, 'expected_risk': 0.8113857209682465, 'generalization': 0.022385716438293457}
{'train_risk': 0.3619999885559082, 'expected_risk': 0.4904857277870178, 'generalization': 0.12848573923110962}
{'train_risk': 0.46399998664855957, 'expected_risk': 0.5548428595066071, 'generalization': 0.09084287285804749}
{'train_risk': 0.39800000190734863, 'expected_risk': 0.46692854166030884, 'generalization': 0.0689285397529602}
{'train_risk': 0.7510000020265579, 'expected_risk': 0.7847000062465668, 'generalization': 0.03370000422000885}
{'train_risk': 0.4959999918937683, 'expected_risk': 0.5493142902851105, 'generalization': 0.05331429839134216}
{'train_risk': 0.539000004529953, 'expected_risk': 0.6122428476810455, 'generalization': 0.07324284315109253}
{'train_risk': 0.5710000097751617, 'expected_risk': 0.6087428629398346, 'generalization': 0.03774285316467285}
{'train_risk': 0.4229999780654907, 'expected_risk': 0.4943428635597229, 'generalization': 0.07134288549423218}
{'train_risk': 0.26999998092651367, 'expected_risk': 0.44264286756515503, 'generalization': 0.17264288663864136}
{'train_risk': 0.4789999723434448, 'expected_risk': 0.5352999866008759, 'generalization': 0.05630001425743103}
{'train_risk': 0.5710000097751617, 'expected_risk': 0.604285717010498, 'generalization': 0.033285707235336304}
{'train_risk': 0.3830000162124634, 'expected_risk': 0.4586285948753357, 'generalization': 0.07562857866287231}
{'train_risk': 0.42000001668930054, 'expected_risk': 0.4851999878883362, 'generalization': 0.06519997119903564}
{'train_risk': 0.4919999837875366, 'expected_risk': 0.5426857173442841, 'generalization': 0.050685733556747437}
{'train_risk': 0.5819999873638153, 'expected_risk': 0.6498285830020905, 'generalization': 0.06782859563827515}
{'train_risk': 0.44700002670288086, 'expected_risk': 0.5436285734176636, 'generalization': 0.09662854671478271}
{'train_risk': 0.507999986410141, 'expected_risk': 0.5467571318149567, 'generalization': 0.038757145404815674}
{'train_risk': 0.37400001287460327, 'expected_risk': 0.4522857069969177, 'generalization': 0.07828569412231445}
{'train_risk': 0.6279999911785126, 'expected_risk': 0.6586571335792542, 'generalization': 0.030657142400741577}
{'train_risk': 0.56700000166893, 'expected_risk': 0.6019714176654816, 'generalization': 0.034971415996551514}
{'train_risk': 0.49400001764297485, 'expected_risk': 0.5492999851703644, 'generalization': 0.055299967527389526}
{'train_risk': 0.5480000078678131, 'expected_risk': 0.5987285673618317, 'generalization': 0.050728559494018555}
{'train_risk': 0.4150000214576721, 'expected_risk': 0.47427141666412354, 'generalization': 0.059271395206451416}
{'train_risk': 0.636000007390976, 'expected_risk': 0.6647714376449585, 'generalization': 0.028771430253982544}
