{'train_risk': 0.1899999976158142, 'expected_risk': 0.39660000801086426, 'generalization': 0.20660001039505005}
{'train_risk': 0.038999974727630615, 'expected_risk': 0.3611000180244446, 'generalization': 0.32210004329681396}
{'train_risk': 0.19300001859664917, 'expected_risk': 0.46052855253219604, 'generalization': 0.2675285339355469}
{'train_risk': 0.010999977588653564, 'expected_risk': 0.31941425800323486, 'generalization': 0.3084142804145813}
{'train_risk': 0.23600000143051147, 'expected_risk': 0.4145285487174988, 'generalization': 0.1785285472869873}
{'train_risk': 0.046999990940093994, 'expected_risk': 0.35187143087387085, 'generalization': 0.30487143993377686}
{'train_risk': 0.018999993801116943, 'expected_risk': 0.34192854166030884, 'generalization': 0.3229285478591919}
{'train_risk': 0.574999988079071, 'expected_risk': 0.6435571312904358, 'generalization': 0.06855714321136475}
{'train_risk': 0.0820000171661377, 'expected_risk': 0.3604714274406433, 'generalization': 0.2784714102745056}
{'train_risk': 0.009999990463256836, 'expected_risk': 0.35927140712738037, 'generalization': 0.34927141666412354}
{'train_risk': 0.017000019550323486, 'expected_risk': 0.3294428586959839, 'generalization': 0.3124428391456604}
{'train_risk': 0.0, 'expected_risk': 0.28877145051956177, 'generalization': 0.28877145051956177}
{'train_risk': 0.008000016212463379, 'expected_risk': 0.33698570728302, 'generalization': 0.32898569107055664}
{'train_risk': 0.042999982833862305, 'expected_risk': 0.37278568744659424, 'generalization': 0.32978570461273193}
{'train_risk': 0.05699998140335083, 'expected_risk': 0.340328574180603, 'generalization': 0.2833285927772522}
{'train_risk': 0.03100001811981201, 'expected_risk': 0.3720285892486572, 'generalization': 0.3410285711288452}
{'train_risk': 0.2630000114440918, 'expected_risk': 0.4225999712944031, 'generalization': 0.15959995985031128}
{'train_risk': 0.003000020980834961, 'expected_risk': 0.32512855529785156, 'generalization': 0.3221285343170166}
{'train_risk': 0.20800000429153442, 'expected_risk': 0.38489997386932373, 'generalization': 0.1768999695777893}
{'train_risk': 0.1690000295639038, 'expected_risk': 0.3658999800682068, 'generalization': 0.19689995050430298}
{'train_risk': 0.014999985694885254, 'expected_risk': 0.36741429567337036, 'generalization': 0.3524143099784851}
{'train_risk': 0.0009999871253967285, 'expected_risk': 0.322528600692749, 'generalization': 0.3215286135673523}
{'train_risk': 0.07400000095367432, 'expected_risk': 0.38198572397232056, 'generalization': 0.30798572301864624}
{'train_risk': 0.02499997615814209, 'expected_risk': 0.3326571583747864, 'generalization': 0.3076571822166443}
{'train_risk': 0.0, 'expected_risk': 0.32575714588165283, 'generalization': 0.32575714588165283}
{'train_risk': 0.2549999952316284, 'expected_risk': 0.4237285852432251, 'generalization': 0.16872859001159668}
{'train_risk': 0.14300000667572021, 'expected_risk': 0.3450714349746704, 'generalization': 0.2020714282989502}
{'train_risk': 0.00700002908706665, 'expected_risk': 0.32341426610946655, 'generalization': 0.3164142370223999}
{'train_risk': 0.03299999237060547, 'expected_risk': 0.3595714569091797, 'generalization': 0.3265714645385742}
{'train_risk': 0.18599998950958252, 'expected_risk': 0.37954282760620117, 'generalization': 0.19354283809661865}
{'train_risk': 0.19499999284744263, 'expected_risk': 0.3839285969734192, 'generalization': 0.18892860412597656}
{'train_risk': 0.004999995231628418, 'expected_risk': 0.3350571393966675, 'generalization': 0.33005714416503906}
{'train_risk': 0.08099997043609619, 'expected_risk': 0.33424288034439087, 'generalization': 0.2532429099082947}
{'train_risk': 0.012000024318695068, 'expected_risk': 0.2993714213371277, 'generalization': 0.2873713970184326}
{'train_risk': 0.019999980926513672, 'expected_risk': 0.3622428774833679, 'generalization': 0.34224289655685425}
{'train_risk': 0.02799999713897705, 'expected_risk': 0.3653857111930847, 'generalization': 0.33738571405410767}
{'train_risk': 0.13499999046325684, 'expected_risk': 0.3557857275009155, 'generalization': 0.2207857370376587}
{'train_risk': 0.029999971389770508, 'expected_risk': 0.3572428822517395, 'generalization': 0.327242910861969}
{'train_risk': 0.2710000276565552, 'expected_risk': 0.43552857637405396, 'generalization': 0.16452854871749878}
