{'train_risk': 0.16619998216629028, 'expected_risk': 0.2241571545600891, 'generalization': 0.05795717239379883}
{'train_risk': 0.09539997577667236, 'expected_risk': 0.16755712032318115, 'generalization': 0.07215714454650879}
{'train_risk': 0.046000003814697266, 'expected_risk': 0.13007140159606934, 'generalization': 0.08407139778137207}
{'train_risk': 0.04780000448226929, 'expected_risk': 0.1313999891281128, 'generalization': 0.0835999846458435}
{'train_risk': 0.06440001726150513, 'expected_risk': 0.13755714893341064, 'generalization': 0.07315713167190552}
{'train_risk': 0.02219998836517334, 'expected_risk': 0.11254286766052246, 'generalization': 0.09034287929534912}
{'train_risk': 0.131600022315979, 'expected_risk': 0.20437145233154297, 'generalization': 0.07277143001556396}
{'train_risk': 0.04780000448226929, 'expected_risk': 0.13094288110733032, 'generalization': 0.08314287662506104}
{'train_risk': 0.037199974060058594, 'expected_risk': 0.12497144937515259, 'generalization': 0.087771475315094}
{'train_risk': 0.0934000015258789, 'expected_risk': 0.16038572788238525, 'generalization': 0.06698572635650635}
{'train_risk': 0.07300001382827759, 'expected_risk': 0.14869999885559082, 'generalization': 0.07569998502731323}
{'train_risk': 0.06480002403259277, 'expected_risk': 0.1502571702003479, 'generalization': 0.08545714616775513}
{'train_risk': 0.038600027561187744, 'expected_risk': 0.12601429224014282, 'generalization': 0.08741426467895508}
{'train_risk': 0.039200007915496826, 'expected_risk': 0.12455713748931885, 'generalization': 0.08535712957382202}
{'train_risk': 0.04659998416900635, 'expected_risk': 0.12861430644989014, 'generalization': 0.08201432228088379}
{'train_risk': 0.05059999227523804, 'expected_risk': 0.1356428861618042, 'generalization': 0.08504289388656616}
{'train_risk': 0.03519999980926514, 'expected_risk': 0.1249856948852539, 'generalization': 0.08978569507598877}
{'train_risk': 0.07639998197555542, 'expected_risk': 0.14404284954071045, 'generalization': 0.06764286756515503}
{'train_risk': 0.060800015926361084, 'expected_risk': 0.14432859420776367, 'generalization': 0.08352857828140259}
{'train_risk': 0.17659997940063477, 'expected_risk': 0.24698573350906372, 'generalization': 0.07038575410842896}
{'train_risk': 0.13620001077651978, 'expected_risk': 0.2046714425086975, 'generalization': 0.06847143173217773}
{'train_risk': 0.03259998559951782, 'expected_risk': 0.12152856588363647, 'generalization': 0.08892858028411865}
{'train_risk': 0.03700000047683716, 'expected_risk': 0.12177145481109619, 'generalization': 0.08477145433425903}
{'train_risk': 0.0504000186920166, 'expected_risk': 0.1356285810470581, 'generalization': 0.0852285623550415}
{'train_risk': 0.05519998073577881, 'expected_risk': 0.13929998874664307, 'generalization': 0.08410000801086426}
{'train_risk': 0.04659998416900635, 'expected_risk': 0.1357285976409912, 'generalization': 0.08912861347198486}
{'train_risk': 0.26319998502731323, 'expected_risk': 0.30250000953674316, 'generalization': 0.03930002450942993}
{'train_risk': 0.029399991035461426, 'expected_risk': 0.12384283542633057, 'generalization': 0.09444284439086914}
{'train_risk': 0.07859998941421509, 'expected_risk': 0.14385712146759033, 'generalization': 0.06525713205337524}
{'train_risk': 0.12279999256134033, 'expected_risk': 0.18067145347595215, 'generalization': 0.057871460914611816}
{'train_risk': 0.0504000186920166, 'expected_risk': 0.1283000111579895, 'generalization': 0.0778999924659729}
{'train_risk': 0.044200003147125244, 'expected_risk': 0.13677144050598145, 'generalization': 0.0925714373588562}
{'train_risk': 0.04900002479553223, 'expected_risk': 0.13535714149475098, 'generalization': 0.08635711669921875}
{'train_risk': 0.06300002336502075, 'expected_risk': 0.1419428586959839, 'generalization': 0.07894283533096313}
{'train_risk': 0.14520001411437988, 'expected_risk': 0.20884287357330322, 'generalization': 0.06364285945892334}
{'train_risk': 0.07020002603530884, 'expected_risk': 0.14552855491638184, 'generalization': 0.075328528881073}
{'train_risk': 0.21079999208450317, 'expected_risk': 0.25458574295043945, 'generalization': 0.04378575086593628}
{'train_risk': 0.031199991703033447, 'expected_risk': 0.1226000189781189, 'generalization': 0.09140002727508545}
{'train_risk': 0.04439997673034668, 'expected_risk': 0.13207143545150757, 'generalization': 0.08767145872116089}
{'train_risk': 0.15799999237060547, 'expected_risk': 0.2076857089996338, 'generalization': 0.04968571662902832}
{'train_risk': 0.051599979400634766, 'expected_risk': 0.13264286518096924, 'generalization': 0.08104288578033447}
{'train_risk': 0.05540001392364502, 'expected_risk': 0.13811427354812622, 'generalization': 0.0827142596244812}
{'train_risk': 0.059599995613098145, 'expected_risk': 0.14015716314315796, 'generalization': 0.08055716753005981}
{'train_risk': 0.058000028133392334, 'expected_risk': 0.1371142864227295, 'generalization': 0.07911425828933716}
{'train_risk': 0.22339999675750732, 'expected_risk': 0.2734714150428772, 'generalization': 0.05007141828536987}
{'train_risk': 0.02460002899169922, 'expected_risk': 0.11647140979766846, 'generalization': 0.09187138080596924}
{'train_risk': 0.046000003814697266, 'expected_risk': 0.13035714626312256, 'generalization': 0.08435714244842529}
{'train_risk': 0.04119998216629028, 'expected_risk': 0.12721431255340576, 'generalization': 0.08601433038711548}
{'train_risk': 0.03600001335144043, 'expected_risk': 0.12277144193649292, 'generalization': 0.08677142858505249}
{'train_risk': 0.03200000524520874, 'expected_risk': 0.11982858180999756, 'generalization': 0.08782857656478882}
{'train_risk': 0.05260002613067627, 'expected_risk': 0.13944286108016968, 'generalization': 0.08684283494949341}
{'train_risk': 0.15039998292922974, 'expected_risk': 0.19848573207855225, 'generalization': 0.04808574914932251}
{'train_risk': 0.03780001401901245, 'expected_risk': 0.12525713443756104, 'generalization': 0.08745712041854858}
{'train_risk': 0.029600024223327637, 'expected_risk': 0.12028568983078003, 'generalization': 0.09068566560745239}
{'train_risk': 0.05220001935958862, 'expected_risk': 0.13764286041259766, 'generalization': 0.08544284105300903}
{'train_risk': 0.046999990940093994, 'expected_risk': 0.12790000438690186, 'generalization': 0.08090001344680786}
{'train_risk': 0.11720001697540283, 'expected_risk': 0.17659997940063477, 'generalization': 0.059399962425231934}
{'train_risk': 0.0461999773979187, 'expected_risk': 0.12145715951919556, 'generalization': 0.07525718212127686}
{'train_risk': 0.11919999122619629, 'expected_risk': 0.18131428956985474, 'generalization': 0.06211429834365845}
{'train_risk': 0.04839998483657837, 'expected_risk': 0.13417142629623413, 'generalization': 0.08577144145965576}
{'train_risk': 0.12400001287460327, 'expected_risk': 0.18392854928970337, 'generalization': 0.0599285364151001}
{'train_risk': 0.131600022315979, 'expected_risk': 0.194685697555542, 'generalization': 0.06308567523956299}
{'train_risk': 0.12559998035430908, 'expected_risk': 0.18138569593429565, 'generalization': 0.05578571557998657}
{'train_risk': 0.11979997158050537, 'expected_risk': 0.18107140064239502, 'generalization': 0.06127142906188965}
{'train_risk': 0.10180002450942993, 'expected_risk': 0.16977143287658691, 'generalization': 0.06797140836715698}
{'train_risk': 0.11379998922348022, 'expected_risk': 0.1835571527481079, 'generalization': 0.06975716352462769}
{'train_risk': 0.41839998960494995, 'expected_risk': 0.4401857256889343, 'generalization': 0.021785736083984375}
{'train_risk': 0.08319997787475586, 'expected_risk': 0.1597856879234314, 'generalization': 0.07658571004867554}
{'train_risk': 0.06459999084472656, 'expected_risk': 0.1388428807258606, 'generalization': 0.07424288988113403}
{'train_risk': 0.04180002212524414, 'expected_risk': 0.1284000277519226, 'generalization': 0.08660000562667847}
{'train_risk': 0.16699999570846558, 'expected_risk': 0.2165856957435608, 'generalization': 0.049585700035095215}
{'train_risk': 0.04240000247955322, 'expected_risk': 0.12612855434417725, 'generalization': 0.08372855186462402}
{'train_risk': 0.15460002422332764, 'expected_risk': 0.21535712480545044, 'generalization': 0.0607571005821228}
{'train_risk': 0.04680001735687256, 'expected_risk': 0.1306856870651245, 'generalization': 0.08388566970825195}
{'train_risk': 0.14740002155303955, 'expected_risk': 0.2159428596496582, 'generalization': 0.06854283809661865}
{'train_risk': 0.07700002193450928, 'expected_risk': 0.14908570051193237, 'generalization': 0.0720856785774231}
{'train_risk': 0.06999999284744263, 'expected_risk': 0.14237141609191895, 'generalization': 0.07237142324447632}
{'train_risk': 0.029399991035461426, 'expected_risk': 0.12048572301864624, 'generalization': 0.09108573198318481}
{'train_risk': 0.06099998950958252, 'expected_risk': 0.13738572597503662, 'generalization': 0.0763857364654541}
{'train_risk': 0.03700000047683716, 'expected_risk': 0.1308000087738037, 'generalization': 0.09380000829696655}
{'train_risk': 0.05419999361038208, 'expected_risk': 0.12928569316864014, 'generalization': 0.07508569955825806}
{'train_risk': 0.050999999046325684, 'expected_risk': 0.13454288244247437, 'generalization': 0.08354288339614868}
{'train_risk': 0.050000011920928955, 'expected_risk': 0.12714284658432007, 'generalization': 0.07714283466339111}
{'train_risk': 0.06180000305175781, 'expected_risk': 0.14388573169708252, 'generalization': 0.08208572864532471}
{'train_risk': 0.1290000081062317, 'expected_risk': 0.19444286823272705, 'generalization': 0.06544286012649536}
{'train_risk': 0.05640000104904175, 'expected_risk': 0.13249999284744263, 'generalization': 0.07609999179840088}
{'train_risk': 0.14020001888275146, 'expected_risk': 0.20524287223815918, 'generalization': 0.06504285335540771}
{'train_risk': 0.10140001773834229, 'expected_risk': 0.1696571707725525, 'generalization': 0.0682571530342102}
{'train_risk': 0.04960000514984131, 'expected_risk': 0.12762856483459473, 'generalization': 0.07802855968475342}
{'train_risk': 0.05879998207092285, 'expected_risk': 0.13664287328720093, 'generalization': 0.07784289121627808}
{'train_risk': 0.02899998426437378, 'expected_risk': 0.11748570203781128, 'generalization': 0.0884857177734375}
{'train_risk': 0.18839997053146362, 'expected_risk': 0.24121427536010742, 'generalization': 0.0528143048286438}
{'train_risk': 0.0559999942779541, 'expected_risk': 0.13968569040298462, 'generalization': 0.08368569612503052}
{'train_risk': 0.142799973487854, 'expected_risk': 0.19587141275405884, 'generalization': 0.053071439266204834}
{'train_risk': 0.06360000371932983, 'expected_risk': 0.14077144861221313, 'generalization': 0.0771714448928833}
{'train_risk': 0.03320002555847168, 'expected_risk': 0.11952859163284302, 'generalization': 0.08632856607437134}
{'train_risk': 0.045400023460388184, 'expected_risk': 0.12761425971984863, 'generalization': 0.08221423625946045}
{'train_risk': 0.1096000075340271, 'expected_risk': 0.17637145519256592, 'generalization': 0.06677144765853882}
{'train_risk': 0.10339999198913574, 'expected_risk': 0.17235714197158813, 'generalization': 0.06895714998245239}
{'train_risk': 0.08480000495910645, 'expected_risk': 0.15772855281829834, 'generalization': 0.0729285478591919}
{'train_risk': 0.048799991607666016, 'expected_risk': 0.13424283266067505, 'generalization': 0.08544284105300903}
{'train_risk': 0.0493999719619751, 'expected_risk': 0.13432854413986206, 'generalization': 0.08492857217788696}
{'train_risk': 0.08020001649856567, 'expected_risk': 0.1535428762435913, 'generalization': 0.07334285974502563}
{'train_risk': 0.039200007915496826, 'expected_risk': 0.1290857195854187, 'generalization': 0.08988571166992188}
{'train_risk': 0.07999998331069946, 'expected_risk': 0.15332859754562378, 'generalization': 0.07332861423492432}
{'train_risk': 0.10019999742507935, 'expected_risk': 0.16942858695983887, 'generalization': 0.06922858953475952}
{'train_risk': 0.03979998826980591, 'expected_risk': 0.12704282999038696, 'generalization': 0.08724284172058105}
{'train_risk': 0.09320002794265747, 'expected_risk': 0.156671404838562, 'generalization': 0.06347137689590454}
{'train_risk': 0.10699999332427979, 'expected_risk': 0.18245714902877808, 'generalization': 0.07545715570449829}
{'train_risk': 0.09200000762939453, 'expected_risk': 0.16589999198913574, 'generalization': 0.07389998435974121}
{'train_risk': 0.03979998826980591, 'expected_risk': 0.12120002508163452, 'generalization': 0.08140003681182861}
{'train_risk': 0.07740002870559692, 'expected_risk': 0.14702856540679932, 'generalization': 0.06962853670120239}
{'train_risk': 0.0820000171661377, 'expected_risk': 0.15611428022384644, 'generalization': 0.07411426305770874}
{'train_risk': 0.05180001258850098, 'expected_risk': 0.13491427898406982, 'generalization': 0.08311426639556885}
{'train_risk': 0.08079999685287476, 'expected_risk': 0.15635716915130615, 'generalization': 0.0755571722984314}
{'train_risk': 0.07620000839233398, 'expected_risk': 0.15158569812774658, 'generalization': 0.0753856897354126}
{'train_risk': 0.029600024223327637, 'expected_risk': 0.12307143211364746, 'generalization': 0.09347140789031982}
{'train_risk': 0.05299997329711914, 'expected_risk': 0.130642831325531, 'generalization': 0.07764285802841187}
{'train_risk': 0.1032000184059143, 'expected_risk': 0.17267143726348877, 'generalization': 0.06947141885757446}
{'train_risk': 0.078000009059906, 'expected_risk': 0.15237140655517578, 'generalization': 0.07437139749526978}
{'train_risk': 0.3077999949455261, 'expected_risk': 0.3368428349494934, 'generalization': 0.029042840003967285}
{'train_risk': 0.06040000915527344, 'expected_risk': 0.13577145338058472, 'generalization': 0.07537144422531128}
{'train_risk': 0.04659998416900635, 'expected_risk': 0.13244283199310303, 'generalization': 0.08584284782409668}
{'train_risk': 0.04680001735687256, 'expected_risk': 0.13265717029571533, 'generalization': 0.08585715293884277}
{'train_risk': 0.044200003147125244, 'expected_risk': 0.13038569688796997, 'generalization': 0.08618569374084473}
{'train_risk': 0.029999971389770508, 'expected_risk': 0.11992859840393066, 'generalization': 0.08992862701416016}
{'train_risk': 0.08300000429153442, 'expected_risk': 0.15805715322494507, 'generalization': 0.07505714893341064}
{'train_risk': 0.10119998455047607, 'expected_risk': 0.16922855377197266, 'generalization': 0.06802856922149658}
{'train_risk': 0.1438000202178955, 'expected_risk': 0.2022143006324768, 'generalization': 0.0584142804145813}
{'train_risk': 0.07099997997283936, 'expected_risk': 0.146142840385437, 'generalization': 0.07514286041259766}
{'train_risk': 0.05199998617172241, 'expected_risk': 0.1379428505897522, 'generalization': 0.08594286441802979}
{'train_risk': 0.0559999942779541, 'expected_risk': 0.13162857294082642, 'generalization': 0.07562857866287231}
{'train_risk': 0.03280001878738403, 'expected_risk': 0.12294286489486694, 'generalization': 0.09014284610748291}
{'train_risk': 0.0339999794960022, 'expected_risk': 0.12192857265472412, 'generalization': 0.08792859315872192}
