{'train_risk': 0.069266676902771, 'expected_risk': 0.11034286022186279, 'generalization': 0.0410761833190918}
{'train_risk': 0.0753333568572998, 'expected_risk': 0.12207144498825073, 'generalization': 0.04673808813095093}
{'train_risk': 0.07120001316070557, 'expected_risk': 0.11192858219146729, 'generalization': 0.04072856903076172}
{'train_risk': 0.06393331289291382, 'expected_risk': 0.10722857713699341, 'generalization': 0.04329526424407959}
{'train_risk': 0.07306665182113647, 'expected_risk': 0.11135715246200562, 'generalization': 0.03829050064086914}
{'train_risk': 0.09206664562225342, 'expected_risk': 0.12878572940826416, 'generalization': 0.03671908378601074}
{'train_risk': 0.06613332033157349, 'expected_risk': 0.11102855205535889, 'generalization': 0.0448952317237854}
{'train_risk': 0.08713334798812866, 'expected_risk': 0.12215715646743774, 'generalization': 0.03502380847930908}
{'train_risk': 0.08566665649414062, 'expected_risk': 0.1250143051147461, 'generalization': 0.03934764862060547}
{'train_risk': 0.07499998807907104, 'expected_risk': 0.11517143249511719, 'generalization': 0.04017144441604614}
{'train_risk': 0.13286668062210083, 'expected_risk': 0.1639285683631897, 'generalization': 0.031061887741088867}
{'train_risk': 0.07940000295639038, 'expected_risk': 0.1209571361541748, 'generalization': 0.041557133197784424}
{'train_risk': 0.19526666402816772, 'expected_risk': 0.21890002489089966, 'generalization': 0.023633360862731934}
{'train_risk': 0.08373332023620605, 'expected_risk': 0.11805713176727295, 'generalization': 0.034323811531066895}
{'train_risk': 0.15240001678466797, 'expected_risk': 0.1811428666114807, 'generalization': 0.028742849826812744}
{'train_risk': 0.12093335390090942, 'expected_risk': 0.1558714509010315, 'generalization': 0.03493809700012207}
{'train_risk': 0.06753331422805786, 'expected_risk': 0.11097145080566406, 'generalization': 0.0434381365776062}
{'train_risk': 0.10379999876022339, 'expected_risk': 0.14022856950759888, 'generalization': 0.03642857074737549}
{'train_risk': 0.07160001993179321, 'expected_risk': 0.11360001564025879, 'generalization': 0.041999995708465576}
{'train_risk': 0.07226663827896118, 'expected_risk': 0.1119428277015686, 'generalization': 0.03967618942260742}
{'train_risk': 0.06933331489562988, 'expected_risk': 0.11242854595184326, 'generalization': 0.04309523105621338}
{'train_risk': 0.1353333592414856, 'expected_risk': 0.1703857183456421, 'generalization': 0.035052359104156494}
{'train_risk': 0.13293331861495972, 'expected_risk': 0.16827142238616943, 'generalization': 0.03533810377120972}
{'train_risk': 0.07419997453689575, 'expected_risk': 0.1128000020980835, 'generalization': 0.038600027561187744}
{'train_risk': 0.06339997053146362, 'expected_risk': 0.10694283246994019, 'generalization': 0.04354286193847656}
{'train_risk': 0.09206664562225342, 'expected_risk': 0.12788569927215576, 'generalization': 0.035819053649902344}
{'train_risk': 0.08539998531341553, 'expected_risk': 0.12552857398986816, 'generalization': 0.04012858867645264}
{'train_risk': 0.08546668291091919, 'expected_risk': 0.12290000915527344, 'generalization': 0.03743332624435425}
{'train_risk': 0.06593334674835205, 'expected_risk': 0.1079285740852356, 'generalization': 0.041995227336883545}
{'train_risk': 0.0652666687965393, 'expected_risk': 0.10735714435577393, 'generalization': 0.04209047555923462}
{'train_risk': 0.09240001440048218, 'expected_risk': 0.12272858619689941, 'generalization': 0.030328571796417236}
{'train_risk': 0.12393331527709961, 'expected_risk': 0.161557137966156, 'generalization': 0.037623822689056396}
{'train_risk': 0.07466667890548706, 'expected_risk': 0.1119428277015686, 'generalization': 0.03727614879608154}
{'train_risk': 0.07933330535888672, 'expected_risk': 0.11587142944335938, 'generalization': 0.036538124084472656}
{'train_risk': 0.09386664628982544, 'expected_risk': 0.13038569688796997, 'generalization': 0.03651905059814453}
{'train_risk': 0.09733331203460693, 'expected_risk': 0.13038569688796997, 'generalization': 0.03305238485336304}
{'train_risk': 0.08226668834686279, 'expected_risk': 0.11931431293487549, 'generalization': 0.037047624588012695}
{'train_risk': 0.08253335952758789, 'expected_risk': 0.12080001831054688, 'generalization': 0.038266658782958984}
{'train_risk': 0.14493334293365479, 'expected_risk': 0.17624282836914062, 'generalization': 0.03130948543548584}
{'train_risk': 0.10026669502258301, 'expected_risk': 0.1397143006324768, 'generalization': 0.0394476056098938}
{'train_risk': 0.07300001382827759, 'expected_risk': 0.11108571290969849, 'generalization': 0.0380856990814209}
{'train_risk': 0.08719998598098755, 'expected_risk': 0.1290285587310791, 'generalization': 0.04182857275009155}
{'train_risk': 0.07213336229324341, 'expected_risk': 0.1087571382522583, 'generalization': 0.03662377595901489}
{'train_risk': 0.07359999418258667, 'expected_risk': 0.1177142858505249, 'generalization': 0.04411429166793823}
{'train_risk': 0.07353335618972778, 'expected_risk': 0.11371427774429321, 'generalization': 0.04018092155456543}
{'train_risk': 0.1191333532333374, 'expected_risk': 0.1501571536064148, 'generalization': 0.031023800373077393}
{'train_risk': 0.09353333711624146, 'expected_risk': 0.13048571348190308, 'generalization': 0.03695237636566162}
{'train_risk': 0.08960002660751343, 'expected_risk': 0.12877142429351807, 'generalization': 0.03917139768600464}
{'train_risk': 0.09320002794265747, 'expected_risk': 0.12940001487731934, 'generalization': 0.036199986934661865}
{'train_risk': 0.08899998664855957, 'expected_risk': 0.12532860040664673, 'generalization': 0.03632861375808716}
{'train_risk': 0.11366665363311768, 'expected_risk': 0.14312857389450073, 'generalization': 0.029461920261383057}
{'train_risk': 0.10093331336975098, 'expected_risk': 0.13747143745422363, 'generalization': 0.036538124084472656}
{'train_risk': 0.07806664705276489, 'expected_risk': 0.12038570642471313, 'generalization': 0.04231905937194824}
{'train_risk': 0.07859998941421509, 'expected_risk': 0.12201428413391113, 'generalization': 0.043414294719696045}
{'train_risk': 0.07386666536331177, 'expected_risk': 0.11027145385742188, 'generalization': 0.03640478849411011}
{'train_risk': 0.07306665182113647, 'expected_risk': 0.11272859573364258, 'generalization': 0.039661943912506104}
{'train_risk': 0.07599997520446777, 'expected_risk': 0.11425715684890747, 'generalization': 0.0382571816444397}
{'train_risk': 0.08166664838790894, 'expected_risk': 0.11952859163284302, 'generalization': 0.03786194324493408}
{'train_risk': 0.08459997177124023, 'expected_risk': 0.12384283542633057, 'generalization': 0.03924286365509033}
{'train_risk': 0.10493332147598267, 'expected_risk': 0.14058572053909302, 'generalization': 0.03565239906311035}
{'train_risk': 0.06466668844223022, 'expected_risk': 0.10442858934402466, 'generalization': 0.039761900901794434}
{'train_risk': 0.06353330612182617, 'expected_risk': 0.10932856798171997, 'generalization': 0.0457952618598938}
{'train_risk': 0.09380000829696655, 'expected_risk': 0.1298285722732544, 'generalization': 0.03602856397628784}
{'train_risk': 0.08686667680740356, 'expected_risk': 0.12561428546905518, 'generalization': 0.03874760866165161}
{'train_risk': 0.08079999685287476, 'expected_risk': 0.12027144432067871, 'generalization': 0.039471447467803955}
{'train_risk': 0.08340001106262207, 'expected_risk': 0.12519997358322144, 'generalization': 0.041799962520599365}
{'train_risk': 0.10713332891464233, 'expected_risk': 0.1396142840385437, 'generalization': 0.03248095512390137}
{'train_risk': 0.08279997110366821, 'expected_risk': 0.1251428723335266, 'generalization': 0.0423429012298584}
{'train_risk': 0.08673334121704102, 'expected_risk': 0.12615716457366943, 'generalization': 0.03942382335662842}
{'train_risk': 0.07246667146682739, 'expected_risk': 0.1079142689704895, 'generalization': 0.03544759750366211}
{'train_risk': 0.11739999055862427, 'expected_risk': 0.14961427450180054, 'generalization': 0.03221428394317627}
{'train_risk': 0.10420000553131104, 'expected_risk': 0.1372571587562561, 'generalization': 0.03305715322494507}
{'train_risk': 0.06093335151672363, 'expected_risk': 0.10352855920791626, 'generalization': 0.04259520769119263}
{'train_risk': 0.08960002660751343, 'expected_risk': 0.12407141923904419, 'generalization': 0.03447139263153076}
{'train_risk': 0.07306665182113647, 'expected_risk': 0.11361426115036011, 'generalization': 0.04054760932922363}
{'train_risk': 0.09586668014526367, 'expected_risk': 0.131514310836792, 'generalization': 0.03564763069152832}
{'train_risk': 0.06786668300628662, 'expected_risk': 0.11167144775390625, 'generalization': 0.04380476474761963}
{'train_risk': 0.09306669235229492, 'expected_risk': 0.13138574361801147, 'generalization': 0.03831905126571655}
{'train_risk': 0.1618666648864746, 'expected_risk': 0.18634283542633057, 'generalization': 0.024476170539855957}
{'train_risk': 0.06800001859664917, 'expected_risk': 0.10878568887710571, 'generalization': 0.04078567028045654}
{'train_risk': 0.06793332099914551, 'expected_risk': 0.112842857837677, 'generalization': 0.044909536838531494}
{'train_risk': 0.13066667318344116, 'expected_risk': 0.1614285707473755, 'generalization': 0.030761897563934326}
{'train_risk': 0.0660666823387146, 'expected_risk': 0.10738569498062134, 'generalization': 0.04131901264190674}
{'train_risk': 0.07073330879211426, 'expected_risk': 0.11477142572402954, 'generalization': 0.04403811693191528}
{'train_risk': 0.0865333080291748, 'expected_risk': 0.1274714469909668, 'generalization': 0.04093813896179199}
{'train_risk': 0.1226000189781189, 'expected_risk': 0.15079998970031738, 'generalization': 0.028199970722198486}
{'train_risk': 0.08133333921432495, 'expected_risk': 0.12214285135269165, 'generalization': 0.0408095121383667}
{'train_risk': 0.08206665515899658, 'expected_risk': 0.11722856760025024, 'generalization': 0.03516191244125366}
{'train_risk': 0.08033335208892822, 'expected_risk': 0.12111431360244751, 'generalization': 0.04078096151351929}
{'train_risk': 0.07499998807907104, 'expected_risk': 0.11517143249511719, 'generalization': 0.04017144441604614}
{'train_risk': 0.08920001983642578, 'expected_risk': 0.1217571496963501, 'generalization': 0.032557129859924316}
{'train_risk': 0.08593332767486572, 'expected_risk': 0.1274285912513733, 'generalization': 0.04149526357650757}
{'train_risk': 0.06406664848327637, 'expected_risk': 0.1047857403755188, 'generalization': 0.04071909189224243}
{'train_risk': 0.07266664505004883, 'expected_risk': 0.11371427774429321, 'generalization': 0.041047632694244385}
{'train_risk': 0.14393335580825806, 'expected_risk': 0.17354285717010498, 'generalization': 0.029609501361846924}
{'train_risk': 0.10559999942779541, 'expected_risk': 0.1379714012145996, 'generalization': 0.0323714017868042}
{'train_risk': 0.12699997425079346, 'expected_risk': 0.15708571672439575, 'generalization': 0.030085742473602295}
{'train_risk': 0.07006669044494629, 'expected_risk': 0.11418569087982178, 'generalization': 0.04411900043487549}
{'train_risk': 0.06346666812896729, 'expected_risk': 0.10992854833602905, 'generalization': 0.04646188020706177}
{'train_risk': 0.09233331680297852, 'expected_risk': 0.1291428804397583, 'generalization': 0.036809563636779785}
{'train_risk': 0.07719999551773071, 'expected_risk': 0.11557143926620483, 'generalization': 0.03837144374847412}
{'train_risk': 0.09113335609436035, 'expected_risk': 0.1265142560005188, 'generalization': 0.03538089990615845}
{'train_risk': 0.07093334197998047, 'expected_risk': 0.10444283485412598, 'generalization': 0.03350949287414551}
{'train_risk': 0.08279997110366821, 'expected_risk': 0.12347143888473511, 'generalization': 0.040671467781066895}
{'train_risk': 0.14960002899169922, 'expected_risk': 0.17882859706878662, 'generalization': 0.029228568077087402}
{'train_risk': 0.07606667280197144, 'expected_risk': 0.1169857382774353, 'generalization': 0.04091906547546387}
{'train_risk': 0.07613331079483032, 'expected_risk': 0.11552858352661133, 'generalization': 0.039395272731781006}
{'train_risk': 0.057733356952667236, 'expected_risk': 0.10372859239578247, 'generalization': 0.045995235443115234}
{'train_risk': 0.07846665382385254, 'expected_risk': 0.11635714769363403, 'generalization': 0.037890493869781494}
{'train_risk': 0.08873331546783447, 'expected_risk': 0.1266428828239441, 'generalization': 0.03790956735610962}
{'train_risk': 0.0820000171661377, 'expected_risk': 0.12367141246795654, 'generalization': 0.04167139530181885}
{'train_risk': 0.0997999906539917, 'expected_risk': 0.13517141342163086, 'generalization': 0.03537142276763916}
{'train_risk': 0.08819997310638428, 'expected_risk': 0.12758570909500122, 'generalization': 0.03938573598861694}
{'train_risk': 0.0907333493232727, 'expected_risk': 0.12705713510513306, 'generalization': 0.03632378578186035}
{'train_risk': 0.0875999927520752, 'expected_risk': 0.1258428692817688, 'generalization': 0.038242876529693604}
{'train_risk': 0.08406668901443481, 'expected_risk': 0.1176142692565918, 'generalization': 0.03354758024215698}
{'train_risk': 0.07493335008621216, 'expected_risk': 0.1185571551322937, 'generalization': 0.04362380504608154}
{'train_risk': 0.08366668224334717, 'expected_risk': 0.12138569355010986, 'generalization': 0.037719011306762695}
{'train_risk': 0.11799997091293335, 'expected_risk': 0.15531426668167114, 'generalization': 0.03731429576873779}
{'train_risk': 0.0814666748046875, 'expected_risk': 0.12065714597702026, 'generalization': 0.039190471172332764}
{'train_risk': 0.11066669225692749, 'expected_risk': 0.14388573169708252, 'generalization': 0.03321903944015503}
{'train_risk': 0.07993334531784058, 'expected_risk': 0.11455714702606201, 'generalization': 0.034623801708221436}
{'train_risk': 0.08106666803359985, 'expected_risk': 0.12298572063446045, 'generalization': 0.041919052600860596}
{'train_risk': 0.07413333654403687, 'expected_risk': 0.11337143182754517, 'generalization': 0.0392380952835083}
{'train_risk': 0.14746665954589844, 'expected_risk': 0.18199998140335083, 'generalization': 0.03453332185745239}
{'train_risk': 0.06339997053146362, 'expected_risk': 0.10562855005264282, 'generalization': 0.0422285795211792}
{'train_risk': 0.06713330745697021, 'expected_risk': 0.10699999332427979, 'generalization': 0.03986668586730957}
{'train_risk': 0.07059997320175171, 'expected_risk': 0.11241430044174194, 'generalization': 0.041814327239990234}
{'train_risk': 0.087066650390625, 'expected_risk': 0.12209999561309814, 'generalization': 0.035033345222473145}
{'train_risk': 0.12366664409637451, 'expected_risk': 0.15945714712142944, 'generalization': 0.03579050302505493}
{'train_risk': 0.05926668643951416, 'expected_risk': 0.10130000114440918, 'generalization': 0.04203331470489502}
{'train_risk': 0.05566668510437012, 'expected_risk': 0.09820002317428589, 'generalization': 0.04253333806991577}
{'train_risk': 0.12866663932800293, 'expected_risk': 0.16084283590316772, 'generalization': 0.032176196575164795}
{'train_risk': 0.09200000762939453, 'expected_risk': 0.13118571043014526, 'generalization': 0.03918570280075073}
{'train_risk': 0.09353333711624146, 'expected_risk': 0.13091427087783813, 'generalization': 0.03738093376159668}
{'train_risk': 0.06993335485458374, 'expected_risk': 0.11054283380508423, 'generalization': 0.04060947895050049}
{'train_risk': 0.09500002861022949, 'expected_risk': 0.12938570976257324, 'generalization': 0.03438568115234375}
{'train_risk': 0.07586663961410522, 'expected_risk': 0.11877143383026123, 'generalization': 0.042904794216156006}
{'train_risk': 0.08353334665298462, 'expected_risk': 0.12025713920593262, 'generalization': 0.036723792552948}
{'train_risk': 0.06620001792907715, 'expected_risk': 0.11187142133712769, 'generalization': 0.04567140340805054}
{'train_risk': 0.08046668767929077, 'expected_risk': 0.120114266872406, 'generalization': 0.039647579193115234}
{'train_risk': 0.0722000002861023, 'expected_risk': 0.11062854528427124, 'generalization': 0.038428544998168945}
{'train_risk': 0.15753334760665894, 'expected_risk': 0.17951428890228271, 'generalization': 0.02198094129562378}
{'train_risk': 0.07673335075378418, 'expected_risk': 0.11540001630783081, 'generalization': 0.03866666555404663}
{'train_risk': 0.07733333110809326, 'expected_risk': 0.11494284868240356, 'generalization': 0.0376095175743103}
{'train_risk': 0.08499997854232788, 'expected_risk': 0.12368571758270264, 'generalization': 0.038685739040374756}
{'train_risk': 0.08813333511352539, 'expected_risk': 0.12791430950164795, 'generalization': 0.03978097438812256}
{'train_risk': 0.06959998607635498, 'expected_risk': 0.11059999465942383, 'generalization': 0.04100000858306885}
{'train_risk': 0.07073330879211426, 'expected_risk': 0.11128568649291992, 'generalization': 0.040552377700805664}
{'train_risk': 0.1491333246231079, 'expected_risk': 0.1840571165084839, 'generalization': 0.03492379188537598}
{'train_risk': 0.06613332033157349, 'expected_risk': 0.10618573427200317, 'generalization': 0.04005241394042969}
{'train_risk': 0.0846666693687439, 'expected_risk': 0.12554287910461426, 'generalization': 0.04087620973587036}
{'train_risk': 0.1220666766166687, 'expected_risk': 0.15079998970031738, 'generalization': 0.02873331308364868}
{'train_risk': 0.102733314037323, 'expected_risk': 0.140414297580719, 'generalization': 0.037680983543395996}
{'train_risk': 0.10453331470489502, 'expected_risk': 0.13727140426635742, 'generalization': 0.0327380895614624}
{'train_risk': 0.1374666690826416, 'expected_risk': 0.17252856492996216, 'generalization': 0.03506189584732056}
{'train_risk': 0.05693334341049194, 'expected_risk': 0.10339999198913574, 'generalization': 0.0464666485786438}
{'train_risk': 0.10133332014083862, 'expected_risk': 0.13604283332824707, 'generalization': 0.03470951318740845}
{'train_risk': 0.09786665439605713, 'expected_risk': 0.13272857666015625, 'generalization': 0.03486192226409912}
{'train_risk': 0.09166663885116577, 'expected_risk': 0.13205713033676147, 'generalization': 0.0403904914855957}
{'train_risk': 0.06499999761581421, 'expected_risk': 0.10672855377197266, 'generalization': 0.04172855615615845}
{'train_risk': 0.07233333587646484, 'expected_risk': 0.11332857608795166, 'generalization': 0.040995240211486816}
{'train_risk': 0.0997999906539917, 'expected_risk': 0.1364142894744873, 'generalization': 0.036614298820495605}
{'train_risk': 0.07419997453689575, 'expected_risk': 0.11371427774429321, 'generalization': 0.03951430320739746}
{'train_risk': 0.09466665983200073, 'expected_risk': 0.13458573818206787, 'generalization': 0.03991907835006714}
{'train_risk': 0.06019997596740723, 'expected_risk': 0.10211426019668579, 'generalization': 0.041914284229278564}
{'train_risk': 0.07639998197555542, 'expected_risk': 0.11301428079605103, 'generalization': 0.036614298820495605}
{'train_risk': 0.10646665096282959, 'expected_risk': 0.142128586769104, 'generalization': 0.035661935806274414}
{'train_risk': 0.09273332357406616, 'expected_risk': 0.13072854280471802, 'generalization': 0.037995219230651855}
{'train_risk': 0.14486664533615112, 'expected_risk': 0.1721285581588745, 'generalization': 0.02726191282272339}
{'train_risk': 0.09013330936431885, 'expected_risk': 0.12732857465744019, 'generalization': 0.03719526529312134}
{'train_risk': 0.07480001449584961, 'expected_risk': 0.11637145280838013, 'generalization': 0.04157143831253052}
{'train_risk': 0.06593334674835205, 'expected_risk': 0.10934287309646606, 'generalization': 0.043409526348114014}
{'train_risk': 0.06746667623519897, 'expected_risk': 0.10721427202224731, 'generalization': 0.03974759578704834}
{'train_risk': 0.06120002269744873, 'expected_risk': 0.1070285439491272, 'generalization': 0.04582852125167847}
{'train_risk': 0.07319998741149902, 'expected_risk': 0.11085712909698486, 'generalization': 0.03765714168548584}
{'train_risk': 0.08546668291091919, 'expected_risk': 0.12144285440444946, 'generalization': 0.03597617149353027}
{'train_risk': 0.07660001516342163, 'expected_risk': 0.11272859573364258, 'generalization': 0.03612858057022095}
{'train_risk': 0.10166668891906738, 'expected_risk': 0.13807141780853271, 'generalization': 0.03640472888946533}
{'train_risk': 0.1061333417892456, 'expected_risk': 0.1388857364654541, 'generalization': 0.032752394676208496}
{'train_risk': 0.06486666202545166, 'expected_risk': 0.11192858219146729, 'generalization': 0.047061920166015625}
{'train_risk': 0.0687333345413208, 'expected_risk': 0.10711431503295898, 'generalization': 0.038380980491638184}
{'train_risk': 0.11926668882369995, 'expected_risk': 0.1469143033027649, 'generalization': 0.02764761447906494}
{'train_risk': 0.12353330850601196, 'expected_risk': 0.15457141399383545, 'generalization': 0.031038105487823486}
{'train_risk': 0.10406666994094849, 'expected_risk': 0.14191430807113647, 'generalization': 0.03784763813018799}
{'train_risk': 0.08340001106262207, 'expected_risk': 0.11815714836120605, 'generalization': 0.034757137298583984}
{'train_risk': 0.07386666536331177, 'expected_risk': 0.11150002479553223, 'generalization': 0.03763335943222046}
{'train_risk': 0.08813333511352539, 'expected_risk': 0.12471431493759155, 'generalization': 0.03658097982406616}
{'train_risk': 0.06133335828781128, 'expected_risk': 0.10540002584457397, 'generalization': 0.044066667556762695}
{'train_risk': 0.08906668424606323, 'expected_risk': 0.1264857053756714, 'generalization': 0.037419021129608154}
{'train_risk': 0.07179999351501465, 'expected_risk': 0.11298573017120361, 'generalization': 0.041185736656188965}
{'train_risk': 0.10106664896011353, 'expected_risk': 0.13922858238220215, 'generalization': 0.03816193342208862}
{'train_risk': 0.0873333215713501, 'expected_risk': 0.12262856960296631, 'generalization': 0.03529524803161621}
{'train_risk': 0.09413331747055054, 'expected_risk': 0.1348000168800354, 'generalization': 0.04066669940948486}
{'train_risk': 0.11893332004547119, 'expected_risk': 0.15411430597305298, 'generalization': 0.03518098592758179}
{'train_risk': 0.09119999408721924, 'expected_risk': 0.12528568506240845, 'generalization': 0.03408569097518921}
{'train_risk': 0.0817333459854126, 'expected_risk': 0.12237143516540527, 'generalization': 0.040638089179992676}
{'train_risk': 0.08273333311080933, 'expected_risk': 0.12005716562271118, 'generalization': 0.037323832511901855}
{'train_risk': 0.09299999475479126, 'expected_risk': 0.1291285753250122, 'generalization': 0.03612858057022095}
{'train_risk': 0.09039998054504395, 'expected_risk': 0.12748569250106812, 'generalization': 0.03708571195602417}
{'train_risk': 0.14766669273376465, 'expected_risk': 0.16947144269943237, 'generalization': 0.021804749965667725, 'test_risk': 0.17443036232632708, 'train_unique_risk': 0.1487535834312439}
{'train_risk': 0.11680001020431519, 'expected_risk': 0.1508428454399109, 'generalization': 0.0340428352355957, 'test_risk': 0.1583098901814877, 'train_unique_risk': 0.11947393417358398}
{'train_risk': 0.07246667146682739, 'expected_risk': 0.11135715246200562, 'generalization': 0.03889048099517822, 'test_risk': 0.12014441702445071, 'train_unique_risk': 0.07455718517303467}
{'train_risk': 0.06513333320617676, 'expected_risk': 0.10921430587768555, 'generalization': 0.04408097267150879, 'test_risk': 0.1191108515674357, 'train_unique_risk': 0.06778782606124878}
{'train_risk': 0.08506667613983154, 'expected_risk': 0.12314283847808838, 'generalization': 0.038076162338256836, 'test_risk': 0.13185878238941223, 'train_unique_risk': 0.08661472797393799}
{'train_risk': 0.09486669301986694, 'expected_risk': 0.13091427087783813, 'generalization': 0.03604757785797119, 'test_risk': 0.13905831356235243, 'train_unique_risk': 0.0966445803642273}
{'train_risk': 0.07333332300186157, 'expected_risk': 0.11157143115997314, 'generalization': 0.03823810815811157, 'test_risk': 0.12009270814139884, 'train_unique_risk': 0.07583290338516235}
{'train_risk': 0.07200002670288086, 'expected_risk': 0.11059999465942383, 'generalization': 0.03859996795654297, 'test_risk': 0.11930228047018793, 'train_unique_risk': 0.07427936792373657}
