{'train_risk': 0.24299997091293335, 'expected_risk': 0.432528555393219, 'generalization': 0.18952858448028564}
{'train_risk': 0.4449999928474426, 'expected_risk': 0.5118571519851685, 'generalization': 0.06685715913772583}
{'train_risk': 0.2990000247955322, 'expected_risk': 0.47121429443359375, 'generalization': 0.17221426963806152}
{'train_risk': 0.5730000138282776, 'expected_risk': 0.6215428709983826, 'generalization': 0.04854285717010498}
{'train_risk': 0.4240000247955322, 'expected_risk': 0.5138143002986908, 'generalization': 0.08981427550315857}
{'train_risk': 0.24900001287460327, 'expected_risk': 0.4016714096069336, 'generalization': 0.15267139673233032}
{'train_risk': 0.42500001192092896, 'expected_risk': 0.4943143129348755, 'generalization': 0.06931430101394653}
{'train_risk': 0.42100000381469727, 'expected_risk': 0.4965857267379761, 'generalization': 0.07558572292327881}
{'train_risk': 0.4819999933242798, 'expected_risk': 0.5393857061862946, 'generalization': 0.05738571286201477}
{'train_risk': 0.6369999945163727, 'expected_risk': 0.6583571434020996, 'generalization': 0.02135714888572693}
{'train_risk': 0.4240000247955322, 'expected_risk': 0.5073142945766449, 'generalization': 0.08331426978111267}
{'train_risk': 0.4139999747276306, 'expected_risk': 0.48747140169143677, 'generalization': 0.07347142696380615}
{'train_risk': 0.3659999966621399, 'expected_risk': 0.4766428470611572, 'generalization': 0.11064285039901733}
{'train_risk': 0.3230000138282776, 'expected_risk': 0.39740002155303955, 'generalization': 0.07440000772476196}
{'train_risk': 0.7069999873638153, 'expected_risk': 0.7529000043869019, 'generalization': 0.04590001702308655}
{'train_risk': 0.4269999861717224, 'expected_risk': 0.49699997901916504, 'generalization': 0.06999999284744263}
{'train_risk': 0.2630000114440918, 'expected_risk': 0.440757155418396, 'generalization': 0.1777571439743042}
{'train_risk': 0.5139999985694885, 'expected_risk': 0.5576571524143219, 'generalization': 0.043657153844833374}
{'train_risk': 0.5139999985694885, 'expected_risk': 0.563314288854599, 'generalization': 0.049314290285110474}
{'train_risk': 0.511000007390976, 'expected_risk': 0.5494571328163147, 'generalization': 0.038457125425338745}
{'train_risk': 0.43800002336502075, 'expected_risk': 0.5144714415073395, 'generalization': 0.07647141814231873}
{'train_risk': 0.5370000004768372, 'expected_risk': 0.5980285704135895, 'generalization': 0.06102856993675232}
{'train_risk': 0.28299999237060547, 'expected_risk': 0.4521285891532898, 'generalization': 0.16912859678268433}
{'train_risk': 0.30900001525878906, 'expected_risk': 0.4545714259147644, 'generalization': 0.14557141065597534}
{'train_risk': 0.37599998712539673, 'expected_risk': 0.4570285677909851, 'generalization': 0.08102858066558838}
