{'train_risk': 0.7409999966621399, 'expected_risk': 0.7598428577184677, 'generalization': 0.01884286105632782}
{'train_risk': 0.6040000021457672, 'expected_risk': 0.6422714293003082, 'generalization': 0.038271427154541016}
{'train_risk': 0.6290000081062317, 'expected_risk': 0.6611142754554749, 'generalization': 0.032114267349243164}
{'train_risk': 0.48000001907348633, 'expected_risk': 0.5368857085704803, 'generalization': 0.05688568949699402}
{'train_risk': 0.7439999878406525, 'expected_risk': 0.7695857137441635, 'generalization': 0.025585725903511047}
{'train_risk': 0.5099999904632568, 'expected_risk': 0.555557131767273, 'generalization': 0.04555714130401611}
{'train_risk': 0.6660000085830688, 'expected_risk': 0.6775571405887604, 'generalization': 0.011557132005691528}
{'train_risk': 0.4869999885559082, 'expected_risk': 0.5502428710460663, 'generalization': 0.06324288249015808}
{'train_risk': 0.760000005364418, 'expected_risk': 0.772514283657074, 'generalization': 0.012514278292655945}
{'train_risk': 0.507999986410141, 'expected_risk': 0.5202857255935669, 'generalization': 0.012285739183425903}
{'train_risk': 0.5789999961853027, 'expected_risk': 0.6138857007026672, 'generalization': 0.0348857045173645}
{'train_risk': 0.49299997091293335, 'expected_risk': 0.5283571481704712, 'generalization': 0.03535717725753784}
{'train_risk': 0.5020000040531158, 'expected_risk': 0.5489285588264465, 'generalization': 0.04692855477333069}
{'train_risk': 0.7580000013113022, 'expected_risk': 0.7766571491956711, 'generalization': 0.018657147884368896}
{'train_risk': 0.42100000381469727, 'expected_risk': 0.4635857343673706, 'generalization': 0.04258573055267334}
{'train_risk': 0.4779999852180481, 'expected_risk': 0.5322571396827698, 'generalization': 0.05425715446472168}
{'train_risk': 0.5620000064373016, 'expected_risk': 0.601500004529953, 'generalization': 0.03949999809265137}
{'train_risk': 0.7089999914169312, 'expected_risk': 0.7382999956607819, 'generalization': 0.029300004243850708}
{'train_risk': 0.546999990940094, 'expected_risk': 0.5782428681850433, 'generalization': 0.03124287724494934}
{'train_risk': 0.6590000092983246, 'expected_risk': 0.7032714188098907, 'generalization': 0.04427140951156616}
{'train_risk': 0.5559999942779541, 'expected_risk': 0.6008000075817108, 'generalization': 0.044800013303756714}
{'train_risk': 0.6980000138282776, 'expected_risk': 0.719642847776413, 'generalization': 0.021642833948135376}
{'train_risk': 0.49900001287460327, 'expected_risk': 0.5678285658359528, 'generalization': 0.06882855296134949}
{'train_risk': 0.5719999969005585, 'expected_risk': 0.5991285741329193, 'generalization': 0.02712857723236084}
{'train_risk': 0.4520000219345093, 'expected_risk': 0.5174285769462585, 'generalization': 0.06542855501174927}
{'train_risk': 0.4580000042915344, 'expected_risk': 0.5024857223033905, 'generalization': 0.04448571801185608}
{'train_risk': 0.46700000762939453, 'expected_risk': 0.4959999918937683, 'generalization': 0.02899998426437378}
